country	city	pm10	Year	pm25
Australia	Central Coast	12.82046228	2014	5.5
Australia	Devonport	14.91835611	2013	6.4
Australia	Geelong	17.5	2014	7.507529594
Australia	Hobart	14.21905817	2013	6.1
Australia	La Trobe Valley	19.95	2014	9.8
Australia	Launceston	18.88104445	2013	8.1
Australia	Lower Hunter	17.32704902	2014	7.433333333
Australia	Melbourne	18.75	2014	7.7
Australia	Upper Hunter	19.65804217	2014	8.433333333
Brazil	Campos	26.20159432	2014	12
Brazil	Cordeiropolis	38	2014	17.40352112
Brazil	Jau	25	2014	11.44968495
Brazil	Malemba	18	2014	8.243773161
Brazil	Quatis	27	2014	12.36565974
Brazil	Sao Jose Dos Campos	30	2014	13.73962193
Canada	Dartmouth	12.25608345	2013	7
Canada	Fort St. John	18	2013	10.28060885
Canada	Morrisburg	12.25608345	2013	7
Canada	Nelson	13	2013	7.424884173
Canada	Notre-Dame-Du-Rosaire	8.754345319	2013	5
Canada	Thomson	12	2013	4
Canada	Trois-Rivieres	19.2595597	2013	11
Canada	Vancouver	12.25608345	2013	7
China	Changhua	47.77760056	2014	31.66666667
China	Changshu	73.92955034	2014	49
China	Changzhi	101.3890976	2014	67.2
China	Chiayi	46.26883423	2014	30.66666667
China	Datong	63.368186	2014	42
China	Eerduosi	41.94370407	2014	27.8
China	Fuyang	89.77159684	2014	59.5
China	Haimen	76.94708301	2014	51
China	Hsinchu	32.68993722	2014	21.66666667
China	Hualien	18.105196	2014	12
China	Jiangyin	102.0931886	2014	67.66666667
China	Jiaonan	79.21023251	2014	52.5
China	Jiaozhou	79.21023251	2014	52.5
China	Jimo	76.94708301	2014	51
China	Jining	81.47338201	2014	54
China	Jintan	72.42078401	2014	48
China	Jurong	97.31542851	2014	64.5
China	Kaohsiung	45.51445106	2014	30.16666667
China	Keelung	30.17532667	2014	20
China	Kinmen	48.28052267	2014	32
China	Korla	87.00552523	2014	57.66666667
China	Kunshan	68.64886817	2014	45.5
China	Laixi	83.73653151	2014	55.5
China	Laizhou	84.49091467	2014	56
China	Lienchiang	39.22792467	2014	26
China	Lin'an	86.75406417	2014	57.5
China	Linyi	83.73653151	2014	55.5
China	Liyang	78.45584934	2014	52
China	Maanshan	86.60318754	2014	57.4
China	Miaoli	37.21623623	2014	24.66666667
China	Nanchong	86.25114206	2014	57.16666667
China	Nantou	50.54367217	2014	33.5
China	New Taipei	33.60434106	2014	22.27272727
China	Penghu	24.14026134	2014	16
China	Penglai	68.64886817	2014	45.5
China	Pingdu	87.50844734	2014	58
China	Pingtung	33.69578145	2014	22.33333333
China	Qujing	47.5261395	2014	31.5
China	Rongcheng	57.33312067	2014	38
China	Rushan	72.42078401	2014	48
China	Shouguang	116.9293908	2014	77.5
China	Taian	83.48507045	2014	55.33333333
China	Taicang	82.22776517	2014	54.5
China	Taichung	43.75422367	2014	29
China	Tainan	44.13141525	2014	29.25
China	Taipei	28.23548424	2014	18.71428571
China	Taitung	15.8420465	2014	10.5
China	Taoyuan	35.70746989	2014	23.66666667
China	Wafangdian	88.26283051	2014	58.5
China	Weifang	73.32604381	2014	48.6
China	Weinan	101.8417275	2014	67.5
China	Wendeng	69.40325134	2014	46
China	Wujiang	84.99383678	2014	56.33333333
China	Yan'an	72.79797559	2014	48.25
China	Yangquan	105.3621823	2014	69.83333333
China	Yilan	24.14026134	2014	16
