City	PM10	PM25
Abbotsford	13	6.6
Aberdeen	11.96365453	32.88275152
Adelaide	16.44285714	28.675
Adrian	16.25291531	8.8
Agassiz	11.28679331	6.3
Agen	16.18782963	42.98897061
Airvault	16.83583085	44.70982546
Aix-En-Provence	24.10418709	56.71667906
Ajaccio	25.56963195	67.90361534
Akron	19.20799082	10.4
Albany	17.0964141	46.22671002
Albany-Schenectady-Troy	13.48253202	7.3
Albertville	18.2624014	48.49827649
Albi	15.75650675	46.24582005
Albuquerque	11.39957953	16.4
Albury	15.33839725	26.61500071
Alexandria	14.2213009	7.7
Allegan	16.06822309	8.7
Allen Park	19.81024492	28.5
Allentown	21.89553386	10.5
Allentown-Bethlehem-Easton	16.85316502	9.125
Altoona	21.06141829	30.3
Ambilly	19.42762259	25.89217566
Americana	35	48.30865255
Amiens	21.65309478	54.13731993
Anacortes	13.24158476	12.7
Anaheim	19.60171603	9.4
Anchorage	12.23369511	17.6
Anderson	19.08039379	9.15
Angers	17.8998285	50.10341762
Anglet	26.71438576	53.20774791
Angouleme	17.67839399	42.87596156
Ann Arbor	18.09983751	9.8
Annecy	22.22270766	51.66431231
Annemasse	18.46315831	55.27309994
Anqing	71	54
Anshan	115	72
Anshun	38	27
Anthony	15.11834481	14.5
Antibes	26.59365008	17.65575849
Anyang	155	86
Anzac	10.74932697	6
Apple Valley	14.35373887	20.65
Appleton	17.93348488	8.6
Aracatuba	29.25	53.82964141
Araraquara	29.5	54.28972382
Araucaria	21.95166667	30.2987268
Arden-Arcade	18.48956193	26.6
Arles	23.1642223	61.51572472
Armagh	19.0223524	13.0709911
Armentieres	18.47502968	49.06293962
Arnold	20.74862495	19.9
Arrest	15.1472022	40.22544375
Arroyo Grande	22.31259165	32.1
Asheville	14.40599312	7.8
Ashland	16.43760753	8.9
Atascadero	12.61599808	12.1
Athens	15.51414643	16.8
Athens-Clarke County	19.0232986	10.3
Atlanta	22.2083272	21.3
Atlanta-Sandy Springs-Marietta	19.17105238	10.38
Atlantic City	14.2213009	7.7
Atton	16.34347168	43.4022991
Aubenas	15.7894603	10.48276175
Auburn	13.97143589	20.1
Auclair	7.166217977	4
Augusta-Richmond County	17.63810696	9.55
Augusta-Waterville	13.11314758	7.1
Aurillac	13.73517884	36.47562477
