Country	City	Ten	Two
Australia	Adelaide	16	7
Australia	Brisbane	15	7
Australia	Bunbury	16	8
Australia	Busselton	19	8
Australia	Canberra	10	7
Australia	Central Coast	13	6
Australia	Darwin	16	6
Australia	Devonport	15	6
Australia	Gladstone	14	5
Australia	Hobart	14	6
Australia	Jondaryan	17	5
Australia	La Trobe Valley	20	10
Australia	Launceston	19	8
Australia	Lower Hunter	17	7
Australia	Melbourne	19	8
Australia	Muswellbrook	19	8
Australia	Newcastle	23	8
Australia	Palmerston	15	7
Australia	Perth	15	8
Australia	Singleton	19	8
Australia	Sydney	17	8
Australia	Upper Hunter	20	8
Australia	Wagga Wagga	21	7
Australia	Wollongong	17	7
Australia	Wynnum	14	4
Australia	Wyong	15	6
Canada	Abbotsford	13	7
Canada	Agassiz	11	6
Canada	Anzac	11	6
Canada	Auclair	7	4
Canada	Aylesford	10	6
Canada	Barrie	14	8
Canada	Bathurst	11	6
Canada	Beaverlodge	9	5
Canada	Belleville	12	6
Canada	Brampton	15	8
Canada	Brandon	17	7
Canada	Brantford	16	9
Canada	Bruderheim	13	7
Canada	Burlington	17	9
Canada	Burnaby	9	7
Canada	Burns Lake	16	7
Canada	Calgary	14	8
Canada	Campbell River	15	9
Canada	Caroline	9	5
Canada	Charette	13	7
Canada	Charlottetown	8	4
Canada	Chatham	14	8
Canada	Chilliwack	12	7
Canada	Cold Lake	17	9
Canada	Corner Brook	10	6
Canada	Cornwall	12	7
Canada	Courtenay	15	9
Canada	Crofton	14	8
Canada	Dartmouth	12	7
Canada	Debolt	9	5
Canada	Delta	10	6
Canada	Deschambault	11	6
Canada	Dorset	10	6
Canada	Drayton Valley	13	7
Canada	Duncan	14	8
Canada	Edmonton	16	9
Canada	Edson	7	4
Canada	Elk Island	10	6
Canada	Ferme Neuve	11	6
Canada	Fort Chipewyan	16	9
Canada	Fort Mackay	14	8
Canada	Fort Mcmurray	15	8
Canada	Fort Saskatchewan	13	7
Canada	Fort Smith	10	7
Canada	Fredericton	10	6
Canada	Gatineau	11	6
Canada	Genesee	7	4
Canada	Golden	18	10
