PAH	KO	Class	Subclass	Count
Benzo[a]pyrene	K00486	Metabolism	Amino Acid/Protein Metabolism	1
Anthracene	K00486	Metabolism	Amino Acid/Protein Metabolism	1
Benzo[b]fluoranthene	K00486	Metabolism	Amino Acid/Protein Metabolism	1
Fluoranthene	K00486	Metabolism	Amino Acid/Protein Metabolism	1
Fluorene	K00486	Metabolism	Amino Acid/Protein Metabolism	1
Anthracene	K00631	Metabolism	Lipid Metabolism	1
Benzo[a]pyrene	K01201	Metabolism	Lipid Metabolism	1
Anthracene	K01201	Metabolism	Lipid Metabolism	1
Benzo[b]fluoranthene	K01201	Metabolism	Lipid Metabolism	1
Acenaphtene	K01201	Metabolism	Lipid Metabolism	1
Acenaphtylene	K01201	Metabolism	Lipid Metabolism	1
Acenaphtene	K01968	Metabolism	Amino Acid/Protein Metabolism	1
Acenaphtene	K02205	Signalling and Cellular Processes	Transporter Protein	1
Benzo[a]pyrene	K02385	Signalling and Cellular Processes	Mobility Protein	1
"Dibenz[a,h]anthracene"	K02385	Signalling and Cellular Processes	Mobility Protein	1
Anthracene	K02385	Signalling and Cellular Processes	Mobility Protein	1
Benzo[b]fluoranthene	K02385	Signalling and Cellular Processes	Mobility Protein	1
Phenanthrene	K02385	Signalling and Cellular Processes	Mobility Protein	1
Fluorene	K02385	Signalling and Cellular Processes	Mobility Protein	1
Acenaphtene	K02385	Signalling and Cellular Processes	Mobility Protein	1
Acenaphtylene	K02385	Signalling and Cellular Processes	Mobility Protein	1
Fluorene	K02403	Environmental Information Processing	Signal Transduction	1
Benzo[a]pyrene	K02617	Unclassified	Unclassified	1
Anthracene	K02617	Unclassified	Unclassified	1
Benzo[b]fluoranthene	K02617	Unclassified	Unclassified	1
Acenaphtene	K02617	Unclassified	Unclassified	1
Acenaphtylene	K02617	Unclassified	Unclassified	1
Benzo[a]pyrene	K02661	Environmental Information Processing	Signal Transduction	1
Anthracene	K02661	Environmental Information Processing	Signal Transduction	1
Benzo[b]fluoranthene	K02661	Environmental Information Processing	Signal Transduction	1
Fluoranthene	K02661	Environmental Information Processing	Signal Transduction	1
Fluorene	K02661	Environmental Information Processing	Signal Transduction	1
"Dibenz[a,h]anthracene"	K02674	Signalling and Cellular Processes	Secretion System	1
Benzo[b]fluoranthene	K02674	Signalling and Cellular Processes	Secretion System	1
Phenanthrene	K02674	Signalling and Cellular Processes	Secretion System	1
Fluorene	K02674	Signalling and Cellular Processes	Secretion System	1
Acenaphtylene	K02674	Signalling and Cellular Processes	Secretion System	1
Fluorene	K03073	Genetic Information Processing	Folding/Sorting/Degradation	1
Fluorene	K03392	Metabolism	Amino Acid/Protein Metabolism	1
Acenaphtene	K03392	Metabolism	Amino Acid/Protein Metabolism	1
"Dibenz[a,h]anthracene"	K03583	Genetic Information Processing	Replication and Repair	1
Benzo[b]fluoranthene	K03583	Genetic Information Processing	Replication and Repair	1
Fluoranthene	K03583	Genetic Information Processing	Replication and Repair	1
Phenanthrene	K03583	Genetic Information Processing	Replication and Repair	1
Fluorene	K03583	Genetic Information Processing	Replication and Repair	1
Acenaphtene	K03583	Genetic Information Processing	Replication and Repair	1
Acenaphtylene	K03583	Genetic Information Processing	Replication and Repair	1
Fluorene	K03656	Genetic Information Processing	DNA Repair/Recombination Protein	1
Acenaphtene	K03656	Genetic Information Processing	DNA Repair/Recombination Protein	1
Anthracene	K03690	Metabolism	Cofactor/Vitamin Metabolism	1
Benzo[b]fluoranthene	K03690	Metabolism	Cofactor/Vitamin Metabolism	1
Phenanthrene	K03690	Metabolism	Cofactor/Vitamin Metabolism	1
Acenaphtylene	K03690	Metabolism	Cofactor/Vitamin Metabolism	1
Benzo[a]pyrene	K04100	Metabolism	Xenobiotics Biodegradation	1
Anthracene	K04100	Metabolism	Xenobiotics Biodegradation	1
Benzo[b]fluoranthene	K04100	Metabolism	Xenobiotics Biodegradation	1
Acenaphtene	K04100	Metabolism	Xenobiotics Biodegradation	1
Acenaphtylene	K04100	Metabolism	Xenobiotics Biodegradation	1
Acenaphtene	K04774	Metabolism	Amino Acid/Protein Metabolism	1
Benzo[a]pyrene	K05306	Metabolism	Amino Acid/Protein Metabolism	1
Anthracene	K05306	Metabolism	Amino Acid/Protein Metabolism	1
Benzo[b]fluoranthene	K05306	Metabolism	Amino Acid/Protein Metabolism	1
Fluoranthene	K05306	Metabolism	Amino Acid/Protein Metabolism	1
Fluorene	K05306	Metabolism	Amino Acid/Protein Metabolism	1
Benzo[a]pyrene	K06143	Signalling and Cellular Processes	Structural Protein	1
Anthracene	K06143	Signalling and Cellular Processes	Structural Protein	1
Benzo[b]fluoranthene	K06143	Signalling and Cellular Processes	Structural Protein	1
Acenaphtene	K06143	Signalling and Cellular Processes	Structural Protein	1
Acenaphtylene	K06143	Signalling and Cellular Processes	Structural Protein	1
Acenaphtylene	K06216	Signalling and Cellular Processes	Transporter Protein	1
Benzo[a]pyrene	K06921	Unclassified	Unclassified	1
Anthracene	K06921	Unclassified	Unclassified	1
Fluorene	K06975	Unclassified	Unclassified	1
Benzo[a]pyrene	K07031	Metabolism	Glycan Biosynthesis/Metabolism	1
Anthracene	K07031	Metabolism	Glycan Biosynthesis/Metabolism	1
Benzo[b]fluoranthene	K07031	Metabolism	Glycan Biosynthesis/Metabolism	1
